Mag Bin,Sector,TIC,Is Real,Comments,Rp,Tc,Depth,Duration,Tau,Rad,Mass,Teff,RA,DEC,Tmag,Vmag,Jmag
12,18,5646747,0,,14.02156448,1814.311436,0.008880617,5.546121978,1.380058055,1.35264,0.95499998,5461.25,32.70606845,27.44527959,11.7921,12.524,11.043
12,18,10429806,0,,15.81914213,1814.647608,0.006778815,3.448848313,0.292495225,1.74668,1.45,6760,28.46200614,63.23957756,11.8969,12.448,11.207
12,18,11157486,1,EB,41.0922156,1800.880555,0.032824854,9.96405657,4.850277959,2.0618899,,8054,29.60476141,60.43071278,11.9585,12.7,11.055
12,18,12004160,0,,25.58051691,1814.689026,0.048792128,2.695764137,0.502538508,1.05279,1.346,6531,31.11767008,62.73208291,11.4536,12.052,10.804
12,18,13089158,0,Blend,21.80259753,1812.955259,0.005560426,7.297395643,0.727067006,2.65804,1.3099999,6463,36.08745707,60.01619317,11.1486,12.222,10.283
12,18,13089204,0,Blend,29.40531547,1812.948851,0.018077279,8.092916049,1.287938647,1.98823,1.24,6318,36.03392224,60.00107696,11.9561,12.818,11.092
12,18,13216158,0,J,16.57045957,1802.18133,0.007432566,3.185098117,0.303844775,1.7473201,1.0700001,5895,344.041791,64.07723191,11.8202,12.82,10.942
12,18,13351352,0,,18.0557129,1812.719936,0.032737641,14.09344336,6.796629352,0.90719002,0.91799998,5325,36.56992867,61.80522475,11.5623,12.323,10.764
12,18,13532760,0,J,8.560163361,1814.602339,0.009994981,6.348814046,0.60671637,0.77839202,0.85299999,5087,36.93881565,60.15663397,11.74,12.5422,10.91
12,18,13703260,0,J,15.09849763,1814.60828,0.009413948,2.292834258,0.227641669,1.41467,1.424,6706,37.42833938,63.69846342,11.3024,11.983,10.566
12,18,13703625,0,J,13.19451074,1814.693855,0.01686858,3.060036853,0.528903403,0.92355198,0.85500002,5096,37.42469733,63.57972955,11.7168,12.522,10.881
12,18,13949576,0,Blend,28.22185826,1793.883061,0.037357317,5.945140613,1.115174538,1.32741,1.229,6285,37.9913457,62.04011575,11.9472,12.59,11.25
12,18,22661539,0,J,13.60812326,1814.814716,0.009945132,3.225127914,0.325305961,1.24051,0.96200001,5488,28.3679599,35.48710786,11.3236,11.871,10.614
12,18,22950641,0,J,18.86210442,1800.511264,0.009529583,7.22838204,0.697869318,1.75655,1.01,5675.6201,59.92518685,29.60802625,11.7895,12.874,10.737
12,18,22952254,0,J,19.85379602,1814.291032,0.015307081,7.561084326,2.756688904,1.45883,1.26,6352.8799,59.9536655,27.13055427,11.0915,11.731,10.242
12,18,22952371,0,J,40.13372054,1814.275681,0.149271117,17.06378766,15.28761954,0.944341,,5278,59.91908074,26.91138615,11.6811,12.72,10.79
